Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Luxembourg,29/2/2020,14/3/2020,12/3/2020,14/3/2020,17/3/2020,0.076340951,0.12584876392972347,14.191358083154032,17.719507674472002,5.3228710445299985,4.6832918728562944,1.8023066510965504,1.9612657381799998,11.660304161743165,0.195814443,0.007912299,0.3979302138480415,13.339254187375474,15.43,344,160,1161,0,799,64,55,138,531,344,19,7,20,7,11,82,134,270,5,258,87,2174,48.2,0.75,291,89,89,30.266,16/3/2020,,,82.6,39.5,1.8,11.6,7.3,13.3,5,3.3,82.6,1.62,22.6,16,4,2,2,74,60,72,74
MS Zaandam,28/3/2020,1/4/2020,,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,88,,
Madagascar,20/3/2020,,23/3/2020,31/3/2020,,0.16053886953519758,,7.967907305313928,3.250550992329184,2.4720864479199998,2.4624528962255936,0.8062134997353131,25.87196113380001,1.7272639048418506,2.333819947,3.890326829895957,8.455756133,118.92057309802178,3.14,11,7,134,0,1189,2,10,56,69,40,1,5,8,29,3,304,3,84,1,66,11,1769,2,0.026000000000000002,90,21,28,1.8119999999999998,21/3/2020,70,5,67.3,20.3,2.39,29.9,6.2,0,335,37.8,67.3,3.78,5.3,1,-2,-10,,,80,83,91
Malaysia,25/1/2020,17/3/2020,4/2/2020,4/3/2020,9/3/2020,0.062927939,0.11861426551349034,19.39398967301281,10.033706306670293,7.254092708330001,3.4760601824440367,1.247655811139078,7.220173442130001,6.337843953839671,1.4706562843200002,0.5727300888627609,0.9321984502279886,113.51469248262728,14.32,12,25,511,0,1252,71,102,58,238,72,17,2,37,26,42,40,1,409,8,438,59,2398,18.6,0.077,1967,836,684,15.132,18/3/2020,99,5,75.9,29.2,1.29,18.3,5.3,-0.3,29,11.4,75.9,2.43,15.6,53,43,14,1,77,25,35,64
Maldives,8/3/2020,,14/3/2020,,,0.029479847494553384,,13.389616128405848,6.209301050017836,9.521791357,5.4878555542397125,0.7449962345157407,3.071618429,9.788789155400847,0.537677829,0.8809147233826814,2.596284969184698,11.189928234819334,14.87,16,42,546,0,1016,45,199,96,85,175,37,0,16,8,31,37,29,242,64,42,69,1707,43,,6,13,2,10.379000000000001,12/3/2020,99,5,76.4,29.5,-0.08,16,4.1,-12.7,53,19.8,76.4,1.71,8.6,4,-2,,,,68,74,
Mali,25/3/2020,29/3/2020,27/3/2020,,,0.2356142841626713,0.375,3.6171744418132574,2.5121659994362067,2.6926171888400003,1.481795136,0.5078553851458095,20.11154746,1.1725902326373054,2.942905011,15.922857495978912,6.9618308648182765,62.368475088191346,1.38,38,13,336,0,1925,2,14,51,102,193,3,10,50,93,7,85,1,104,21,150,61,2590,1,0.026000000000000002,151,,21,1.393,19/3/2020,79,5,61.6,16,2.95,42.2,9,-3.9,562,64,61.6,5.72,8.6,-6,-8,,-10,89,85,87,
Malta,7/3/2020,,13/3/2020,19/3/2020,23/3/2020,0.059465068,,18.968820440514442,16.93689126323657,6.277964446,4.015113320175786,0.9268365226389366,2.14431084,11.609764481755073,0.147523693,0.015363133686703813,0.4187214516860467,19.07328190119362,15.7,135,141,983,0,1100,47,65,109,366,360,6,4,40,36,5,78,78,521,31,197,142,2477,46.65,0.23,214,82,51,38.26,13/3/2020,96,24,82.8,42.3,0.87,9.9,8.3,6.6,6,4.6,82.8,1.49,28.9,6,0,-6,,,67,73,79
Mauritania,14/3/2020,30/3/2020,,,,0.14444444444444446,0,7.350660991610223,5.065240679118449,4.6547328958300005,2.3251109848109714,1.1365701338570158,19.36761434,3.476649832193329,3.084162641,2.179791918829292,5.257490579896444,84.64593221341622,2.61,0,23,419,0,1513,9,19,36,125,232,8,12,10,94,0,19,6,361,0,346,29,2423,4,0.18,,,,1.79,16/3/2020,85,5,64.5,21,2.09,29,7.5,-0.8,766,47.9,64.5,3.65,12.7,2,,,-14,90,74,,
Mauritius,18/3/2020,21/3/2020,20/3/2020,26/3/2020,28/3/2020,0.10385645665546099,0.2555555555555556,17.57354342085408,8.813236202167895,20.982918616400003,4.048014051865917,1.7822138768915172,2.872918517,6.540191369870034,1.087194864,0.9988877138973312,1.7030814323338996,22.903748275196143,10.8,53,26,459,0,1451,22,51,58,202,154,19,4,36,88,18,39,25,289,6,530,57,2668,34,0.4,88,79,67,20.246,19/3/2020,98,5,76.5,36.3,0.54,12.6,7.3,0,61,9,76.5,1.73,10.8,1,-1,-7,-2,81,78,80,86
Mexico,28/2/2020,19/3/2020,12/3/2020,16/3/2020,19/3/2020,0.15430149385229727,0.29915161466885604,10.444749780353137,8.202116877463249,15.16627676,3.2817615221697496,3.7802040793282092,4.054855313,5.0411552231137255,1.1608107102399998,0.7100315099852793,1.206946742207586,20.03828635852639,7.59,78,59,670,0,1403,70,28,109,329,169,0,16,29,101,15,33,5,456,15,292,55,2590,15.2,0.055999999999999994,25900,14455,8750,22.478,23/3/2020,96,5,76.7,29.3,1.04,17.6,5.4,-1.9,33,10.7,76.7,2.19,28.9,24,11,7,4,79,59,72,76
Moldova,8/3/2020,18/3/2020,14/3/2020,20/3/2020,23/3/2020,0.16818824601812465,0.24166666666666667,29.003592619007545,11.782857852098848,3.88177113,2.233640257837454,6.288226368324226,2.9542395314300003,5.6141757242404875,1.3439100241600002,0.074639859,0.7967555012688501,23.105221346715396,15.23,99,86,589,0,1024,30,23,55,175,267,8,8,4,7,1,84,15,222,2,229,56,1805,58.34,0.49,563,641,553,32.001999999999995,11/3/2020,97,5,71.9,37.7,-1.08,10.7,12.6,-9,19,11.1,71.9,1.58,18.9,3,-3,-9,-7,78,68,74,80
Monaco,29/2/2020,29/3/2020,20/3/2020,31/3/2020,,0.061713562,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,60,80,91
Mongolia,10/3/2020,,21/3/2020,,,0.042929293,,18.509644716077315,12.043857612478226,3.974376526,1.7998206316093786,4.0069603724526495,5.5803617572599995,3.877766514920925,1.433754108,0.2442645644677909,1.6895091685028647,22.15755952581325,13.52,73,95,966,0,890,16,1,16,501,314,9,38,3,4,0,58,37,139,2,139,35,1405,70,,409,677,238,28.866,19/2/2020,99,5,70.8,29.8,0.99,16.6,6.3,-0.8,45,19.2,70.8,1.95,20.6,-20,-31,,,,70,81,
Montenegro,17/3/2020,23/3/2020,20/3/2020,25/3/2020,31/3/2020,0.10064291886551106,0.16666666666666666,31.38968188,16.001125989340878,5.9393413,2.379967146008719,0.8403241415408097,1.253556319,7.159356319,0.099997153,0.10647420238749006,0.509331364,7.627206166302306,26.48,98,97,1227,0,1122,46,25,163,485,564,24,10,19,43,3,49,86,332,25,213,76,2254,39.65,0.16,,101,,23.337,16/3/2020,88,5,77.3,39.6,-0.37,11.5,10.4,-4.9,6,3.4,77.3,1.82,23.3,-1,-4,-9,-7,83,77,80,85
