Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Afghanistan,24/2/2020,22/3/2020,14/3/2020,24/3/2020,27/3/2020,0.17417881150581996,0.083333333,8.953005951124329,3.3720823906404545,5.27328049,1.9631703231819209,0.4981158910413298,15.82552215,1.962412494383544,2.9380144307200005,1.3933449285255042,1.7700298313053582,70.61433288141315,3.56,0,34,191,,1484,6,0,59,48,98,1,5,7,20,4,13,3,89,5,92,30,1809,5,0.085,,,8,2.84,14/3/2020,86,5,52.8,19.5,2.38,36.7,12.7,-0.1,638,104.3,52.8,4.82,5.5,19,0,-10,-8,82,55,74,84
Albania,9/3/2020,11/3/2020,10/3/2020,16/3/2020,23/3/2020,0.068699416,0.13005050505050506,27.01678431488417,13.225389824975467,4.571592237,3.2514253176738404,1.1222773720687502,2.614148915,8.372170760252345,0.051631681074299995,0.019658347,0.9806906954044156,12.241503672929234,19.09,62,72,1094,0,1102,55,10,265,263,676,4,18,74,55,0,86,17,234,27,192,187,2305,28.88,0.28,,45,,11.998,11/3/2020,99,5,79,34.3,0.28,13,7.1,-3.3,15,10.8,79,1.53,21.7,2,1,-5,0,71,69,70,76
Algeria,25/2/2020,12/3/2020,4/3/2020,16/3/2020,21/3/2020,0.15858819388282344,0.2285776144508069,17.005475868192548,6.4817290236089695,8.614000207770001,3.4754165631311063,0.9263084281699808,3.809943878,8.204560893875005,0.390350863,0.1245101074787528,1.1881415490933014,15.996728004419882,10.92,6,13,404,0,1675,28,8,213,84,267,7,4,18,73,8,129,10,267,15,386,137,2945,19,,3204,599,825,18.3,12/3/2020,99,5,77.5,28.9,1.52,20,4.4,-0.9,112,17.6,77.5,2.59,27.4,16,8,-4,0,72,56,64,76
Andorra,2/3/2020,22/3/2020,17/3/2020,19/3/2020,22/3/2020,0.082774037,0.3452380952380952,13.784687901664267,17.87927851,4.381889021,4.771666828410284,1.5613892082297691,2.507505097,13.608032063903725,0.334844835,0.002159372,0.34055063975232264,18.236080130387922,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/3/2020,,,83,46.2,-0.06,7,7.7,0,,3.5,83,1.43,25.6,14,-1,-3,-6,82,62,77,79
Angola,20/3/2020,29/3/2020,,,,0.13214285714285712,0,4.480299624,3.011632192,2.733064596,1.7119807528318358,1.4396947189538127,20.52799916,1.8391048167521904,9.101146506980001,6.213008176334766,5.597667213494106,94.47100697498459,4.7,88,12,213,0,833,2,38,105,133,23,3,5,49,68,0,573,2,125,0,194,16,2057,8,0,,,,2.149,24/3/2020,79,5,61.3,15.9,3.43,42.7,8.5,-0.2,241,62.3,61.3,5.96,8.2,4,,,-5,89,80,,
Antigua and Barbuda,13/3/2020,,,,,0.047619048,,15.95782501437371,12.103094664375137,12.2100551,2.603435069028883,1.3558309287718358,4.226786898419999,6.499621202581247,1.863999571,0.5476425925425285,3.4164009636795547,35.4295039,6.75,112,75,747,0,667,10,84,179,342,228,15,8,29,22,17,41,24,283,4,228,63,1683,38,1.11,5,6,2,27.647,,,,77.3,32.7,1.18,15.4,5.8,2.1,,11.1,77.3,1.97,18.9,,,,,,73,,
Argentina,3/3/2020,8/3/2020,8/3/2020,16/3/2020,20/3/2020,0.11869613016529401,0.19122693703166627,15.781373121370766,13.962664971703555,6.642161183160001,4.140331071,1.655163038,4.992296123,9.060723952650477,0.9586674125839999,0.2522617304929037,0.9016274716607292,57.73190480669795,15.81,93,69,971,0,1088,56,13,95,612,205,,17,2,8,2,91,15,457,3,359,56,2267,50,,,,4500,39.6,16/3/2020,99,5,77.8,32.4,0.86,16,7.4,-0.1,39,9,77.8,2.21,28.3,13,8,0,8,68,63,68,76
Armenia,1/3/2020,26/3/2020,14/3/2020,16/3/2020,19/3/2020,0.12563451876828682,0.5138888888888888,25.348767139565282,14.673964438415773,8.057546359439996,3.6267841005570345,2.7321589914412368,2.8638792959500003,6.04908627,0.490339511,0.13739736051463922,1.2124862595106918,15.685065093319604,17.04,14,109,790,0,1186,45,11,156,260,347,7,18,14,27,1,77,43,326,19,220,198,2288,41.8,0.64,1011,784,419,28.99,2/3/2020,99,5,75.6,36.6,-0.3,11.9,9.5,-5.5,26,11.5,75.6,1.65,20.2,1,-12,-14,-24,86,61,74,76
Australia,26/1/2020,1/3/2020,3/3/2020,10/3/2020,14/3/2020,0.082560106,0.1366310892172961,12.176800097073126,17.040098242221177,5.382734009,5.335422654582157,0.9595096515619008,1.5939993631300002,11.214323883829598,0.135918807,0.009707509,0.22220372839918348,9.045839581629306,12.55,131,126,1034,0,771,31,40,110,496,318,14,23,44,9,7,87,34,384,56,555,75,2277,37.9,,4422,1591,3881,35.874,24/3/2020,,,82.7,37.5,1.4,12.4,6.9,8.1,6,3.1,82.7,1.74,29,58,21,14,23,61,26,63,70
Austria,25/2/2020,12/3/2020,1/3/2020,6/3/2020,8/3/2020,0.064460183,0.18348926582531075,17.256516139744186,17.358557884953527,6.499276154,4.348961969402323,2.034187747258688,1.188686179,10.396912676016443,0.203517455,0.00260632,0.2850681603669321,4.5746519815209785,14.15,208,388,1153,0,914,58,30,118,370,299,0,8,51,8,8,108,27,462,31,529,76,2540,76.47,,7767,2518,1761,51.441,16/3/2020,90,31,81.9,44.5,0.35,9.5,9.8,3.6,5,3.3,81.9,1.49,20.1,20,15,10,4,72,56,61,66
Azerbaijan,1/3/2020,13/3/2020,10/3/2020,21/3/2020,26/3/2020,0.1613468755602848,0.097222222,25.684541840071244,9.846049068282158,6.1477354812300025,2.680938479293112,2.7150106036948616,7.994760441,4.7139562797215895,1.036097048,0.12811881347460186,1.3827942025602569,40.330210194091066,15.8,140,81,507,0,1784,34,6,100,182,197,2,7,3,5,1,137,19,212,28,75,91,2596,46.88,0.53,,1982,,34.466,3/3/2020,98,5,73.6,32.6,0.77,14.5,7,0,26,21.3,73.6,1.88,19.9,2,-7,-18,-10,73,61,70,81
Bahamas,16/3/2020,1/4/2020,27/3/2020,,,0.16926406926406926,0,16.765925784734574,12.88532199618623,10.45978934,2.567419470053126,1.5165273032421067,3.929844928380001,5.7566483664008175,4.736605255,0.1542295399054738,0.8434606527178499,33.12693464517819,6.28,119,58,604,0,438,27,51,182,334,122,44,11,42,5,9,29,17,354,7,129,62,1439,29,0.26,,,,19.373,16/3/2020,,,73.3,32.8,0.75,14.8,7.4,0,70,10.6,73.3,1.92,31.6,0,-11,,-16,92,76,87,
Bahrain,24/2/2020,16/3/2020,25/2/2020,4/3/2020,10/3/2020,0.056065603029970545,0,10.202329611148082,5.986385478305866,14.932370164000002,3.7902993582251625,1.087662516030088,2.849713878,12.07942013694466,0.456636915,0.051001958,1.3852299355010116,19.135446449778424,9.71,,,,,,,,,,,,,,,,,,,,,,,20.3,,201,58,67,9.257,26/2/2020,,,79.4,32.9,2.08,12.7,2.8,10.6,14,8.3,79.4,1.69,29.8,2,1,-7,-19,76,55,56,64
Bangladesh,8/3/2020,18/3/2020,17/3/2020,31/3/2020,,0.026251704385457875,0.033333333333333326,15.819273543460875,5.921303979274027,5.573065628,5.1619781071739625,1.8100601532650875,9.582291248,6.261712141626037,1.2642626640899999,1.121898870280804,2.778965220936777,33.65360558006273,10,0,8,123,0,1948,12,43,34,18,40,1,2,7,64,26,100,1,74,6,178,32,2473,7.7,0.044000000000000004,2615,850,1200,5.268,17/3/2020,98,5,74.2,27.9,0.98,18.1,5.5,-3,173,28.3,74.2,2.11,3.6,9,0,-14,-1,78,68,77,91
Barbados,17/3/2020,,22/3/2020,,,0.1226347182229535,,16.907563919182543,16.326971167909438,13.207041150000002,2.623922180994288,1.188147652032054,4.268234937230002,6.972037948793505,1.363016849,0.2663353262908215,0.9192458533042313,38.75791362773568,6.05,65,67,700,0,889,34,82,112,328,182,52,6,69,73,17,99,17,468,16,258,61,2196,58,0.35,18,12,19,24.886,19/3/2020,,,76,39.5,0.23,11.3,8.8,-0.3,27,9.6,76,1.68,23.1,2,-3,,,,77,82,
Belarus,28/2/2020,31/3/2020,12/3/2020,18/3/2020,30/3/2020,0.25907006208250033,1,33.62134641643093,11.942706432404563,3.143786028,2.336143327,2.288203490345284,1.493940827,5.9005479145728055,0.9619850199259999,0.074651186,0.4109287910598412,8.313031531800863,17.78,217,176,807,0,939,56,32,92,376,144,11,23,15,0,1,328,26,303,28,403,121,2482,110.5,0.55,6428,2590,2466,40.772,,97,5,73.8,40.9,-0.27,9.5,13.1,0.7,2,3.5,73.8,1.5,24.5,,,,,91,59,72,78
Belgium,4/2/2020,11/3/2020,3/3/2020,5/3/2020,6/3/2020,0.1340368439021252,0.23373721068789285,14.292107007974016,18.184271261748787,5.151375849,5.179322809000662,1.5641231101452764,2.742510659,11.069344437868097,0.18789721621599997,0.00088625,0.36939990961370794,19.83889253429312,18.83,174,360,1067,0,983,52,45,104,247,349,,14,18,22,7,165,9,513,42,533,131,2701,62.29,,5571,1541,2281,33.234,13/3/2020,,,81.4,41.6,0.63,11.1,9.8,4.8,5,3.3,81.4,1.77,22.1,38,10,8,2,71,35,63,65
Belize,23/3/2020,,,,,0.083333333,,9.853445294058435,7.605281650189152,10.0057774,3.328407890864712,1.7786299201313849,5.73515806,4.952029947382608,4.872622367,0.4560969178076165,2.3829362362753668,43.04624140378663,6.77,82,141,495,0,1020,16,20,136,213,102,28,2,33,123,2,27,16,412,7,276,40,2204,13,0.6,23,4,10,11.262,23/3/2020,98,5,75.3,23.9,1.72,22,4.1,-1,36,11.2,75.3,2.7,24.1,0,,,,,83,,
Benin,16/3/2020,,1/4/2020,,,0.1574074074074074,,4.222493223082953,2.893636362474993,4.334920381,1.619616429,0.8109565014480578,23.526729517899998,1.987969197448732,3.9797374386800004,13.794076189630994,4.456479556740223,110.79073073799697,2.42,97,5,137,0,1018,3,29,42,66,29,3,4,103,91,56,797,1,79,28,256,47,2619,5,0.11,81,90,20,1.5719999999999998,30/3/2020,89,5,61.4,17,3.4,42.1,8.4,0.3,397,58.7,61.4,5.53,9.6,14,-2,,,,76,92,
Bhutan,6/3/2020,,,,,0.097222222,,11.605897117863787,5.886293023253303,6.682996542,5.281997262559325,2.230237419,11.048947847400001,6.687138020187838,1.796657732,1.1035868304330236,4.422313970947154,31.286347259216924,7.12,,,,,,,,,,,,,,,,,,,,,,,17.4,0.13,6,13,3,3.715,18/3/2020,99,5,72.1,29.1,1.02,16.3,6.3,0,183,27,72.1,1.82,6.4,12,,,,,66,,
Bolivia,11/3/2020,29/3/2020,14/3/2020,27/3/2020,31/3/2020,0.12544409482118868,0.9523809523809524,9.990454671488184,9.416817266956732,6.6746622639799975,3.1220141467526883,1.818706029570669,11.209534449500001,4.959810309819403,1.978447126,1.2565409746745406,3.1642941778130336,65.87884212912405,6.01,37,43,472,0,1019,26,5,114,318,77,6,4,19,43,4,167,13,268,37,125,30,1881,11,0.29,1807,500,1270,16.111,12/3/2020,99,5,70.4,25.3,1.44,20.8,6.3,-0.3,155,32.2,70.4,2.48,20.2,1,-2,-15,-17,89,71,74,87
Bosnia and Herzegovina,5/3/2020,21/3/2020,12/3/2020,19/3/2020,22/3/2020,0.14587433318966062,0.2745726495726496,26.853919987565273,17.34197300833541,8.037173751,3.865477493192525,1.4262493754838608,1.163354183,6.5128839348744325,0.278129857,0.081928648,0.6819669342289006,7.301671128250819,22.57,254,36,592,0,1388,19,12,124,198,319,13,7,20,51,68,148,55,198,17,193,148,2677,34.99,0.13,275,115,54,20.003,12/3/2020,95,5,77.5,43.3,-0.19,8.6,10.2,-0.4,10,5.2,77.5,1.33,17.9,7,0,-7,-9,81,65,72,79
Botswana,30/3/2020,31/3/2020,,,,0.11111111111111109,0,6.7986514339286455,4.9107576391009236,6.2899722778000005,3.155856575369161,0.7563479888204512,8.22173621,3.2031371456416267,32.876194275900005,0.5223078625400456,2.2328938838785355,59.989488082106206,6.07,73,49,380,0,1048,5,9,48,88,219,21,10,23,27,16,125,12,278,2,257,30,1960,18,0.15,40,18,18,3.688,20/3/2020,98,5,64.8,25.7,1.48,20.9,9.2,2.9,144,26.8,64.8,2.45,18.9,-10,,,-11,91,90,,
Brazil,26/2/2020,17/3/2020,6/3/2020,12/3/2020,13/3/2020,0.15492481763199684,0.23484090092616308,13.653026569039849,9.953128961,6.4606773,3.489214878527984,1.7699791258536988,4.6439217385200005,7.503939607958548,1.6006130559499998,0.8853843530091557,1.9060979043169441,40.83331423777864,12.55,93,99,858,0,948,29,15,112,465,243,0,7,47,132,1,116,9,411,5,468,36,2391,22,,70298,25013,18236,21.499000000000002,12/3/2020,99,5,74.7,33.2,0.67,13.6,6.9,-0.1,60,15.9,74.7,1.73,22.1,15,6,0,-5,77,57,66,72
Brunei,9/3/2020,28/3/2020,11/3/2020,15/3/2020,24/3/2020,0.024655642,0,13.606625123797429,15.269343918361713,11.479677450799999,3.2658904319870925,0.9978798580278422,2.783482693,8.776019074,0.846325563,0.22548892419022715,0.7934499843820666,40.39039480634783,15.31,,,,,,,,,,,,,,,,,,,,,,,27.4,0.24,,,,17.701,30/3/2020,99,5,77.9,31.1,1.51,16.5,3.8,2.3,31,8.8,77.9,1.75,14.1,21,19,15,2,88,69,71,75
Bulgaria,8/3/2020,11/3/2020,13/3/2020,15/3/2020,20/3/2020,0.077430903,0.28769841269841273,37.37805529,14.802908428225422,5.113543861779999,3.666356508884166,2.0648419580320927,1.803234886,5.934753213533863,0.19578704509300002,0.011105740539419687,0.3282740101154005,12.940748090080008,19.06,208,139,695,0,1014,33,16,100,244,248,5,15,36,20,69,51,12,263,8,297,49,2133,68.16,,5859,1408,1511,39.879,16/3/2020,96,5,75,43.7,-0.65,8.3,14.6,-0.3,10,8.1,75,1.49,25,8,3,1,5,71,68,73,75
Burkina Faso,10/3/2020,18/3/2020,16/3/2020,21/3/2020,24/3/2020,0.082213975,0.10377585377585379,3.9870491399082537,2.7336927209453363,3.885245312,1.1825531899444983,0.58117128,20.40368451,1.5235044303329797,3.68104186,19.267771417593192,5.237838812352595,129.5585207,1.82,137,7,152,0,1719,8,14,8,63,55,2,5,200,132,3,26,1,96,4,229,11,2567,4,0.053,36,10,58,0.6,16/3/2020,98,5,62.7,17.9,2.66,35.1,8.2,-0.6,320,52,62.7,4.51,5.6,6,0,-5,-2,78,70,76,81
Burma,27/3/2020,31/3/2020,29/3/2020,,,0.17579365079365075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,87,89,
Burundi,31/3/2020,,,,,0.25,,4.516046000976475,2.9617926285419767,2.3330165601700004,1.5998408429576203,1.0511709031422314,26.851420288000003,1.4381350477274844,9.624881881,12.420215979561345,4.8773418740702175,122.77749259008988,3.3,,,,,,,,,,,,,,,,,,,,,,,7.9,0.03,,,,0.5,,93,5,66.7,17.7,2.85,36.5,6.2,-0.8,548,40.1,66.7,5.28,5.4,,,,,,91,,
Cabo Verde,20/3/2020,24/3/2020,,,,0.033333333333333326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,80,,
Cambodia,27/1/2020,,17/3/2020,20/3/2020,29/3/2020,0.017850815428667215,,11.368198106479742,6.8490353908029284,4.71976321,3.4080265507199936,5.351597917550882,14.014568230499995,4.876681446848793,3.132891898,1.7887457353602367,2.718438771,98.92901175887363,12.38,70,5,200,0,1633,5,88,32,88,10,9,4,92,46,7,84,2,207,2,65,18,2272,8.33,0.059000000000000004,,,,1.682,16/3/2020,90,5,65.9,26.4,1.4,21.3,7.3,-0.3,160,43.7,65.9,2.39,3.9,49,-1,-4,,,27,77,80
Cameroon,6/3/2020,25/3/2020,17/3/2020,23/3/2020,29/3/2020,0.23942005719100443,0.36111111111111116,4.877371551563146,3.512043223118462,3.7712388945999997,1.8436000613596564,1.137563717158632,16.971400943499994,2.2131971311251286,12.29410681,14.293772666981006,3.202733362804739,119.5113103713414,2.69,81,8,115,0,1089,1,29,186,53,22,3,3,127,189,35,431,2,85,17,220,73,2538,13,0.04,83,151,22,0.898,18/3/2020,74,5,62.3,18.5,2.78,36.3,8.1,-0.3,529,51.5,62.3,4.66,11.4,12,1,-5,-7,85,66,77,83
Canada,26/1/2020,9/3/2020,29/2/2020,13/3/2020,15/3/2020,0.1525860477916202,0.17140623951145273,13.685415734443824,18.32176644158216,6.379470988,4.4251687286158985,1.2946398525453078,1.962845578,11.740589908222232,0.276035652,0.001631913,0.29406428591489137,11.640901932914307,17.86,110,277,887,0,910,54,37,127,335,183,18,1,92,110,10,106,17,433,41,556,76,2605,27,0.13,7489,3070,3186,26.101999999999997,16/3/2020,,,83.4,41.8,0.81,10.2,7.9,5.6,10,4.3,83.4,1.57,29.4,50,16,3,7,69,26,60,73
Central African Republic,15/3/2020,,,,,0,,5.090088596315328,2.234884366767504,2.154276732,1.4748464596065216,0.6331605464945665,23.99852105,1.1452207322830292,19.54018216,8.129738681925486,3.9644922345566136,161.19582089418213,3.97,19,26,260,0,315,2,15,67,175,31,1,12,81,80,0,692,3,60,0,169,11,1498,10,0.087,9,8,0,0.629,30/3/2020,74,5,54.2,20,2.09,33.2,12.3,0,829,80.6,54.2,4.14,7.5,15,,,,,75,,
Chad,19/3/2020,,,,,0.20158730158730157,,3.339178005623624,1.905528254610112,2.8065154016000005,1.132368502403488,0.6983604488654341,33.45809421,1.3510390742288705,7.455803897439999,6.629160778882222,5.8529470095405305,150.91815973642684,1.13,6,32,290,0,1162,1,20,13,126,85,1,25,232,85,0,133,0,87,0,76,4,1800,4,0.008,18,13,2,0.475,20/3/2020,70,5,58.3,16.1,3.18,41.7,10,-0.1,1140,68.6,58.3,5.68,6.1,1,,,,,79,,
Chile,3/3/2020,22/3/2020,10/3/2020,14/3/2020,16/3/2020,0.13320086887149266,0.24464285714285713,12.219116829647806,14.273118431428196,6.593863319,3.5948369715999036,3.017870579,2.477395345,12.550732689580505,0.808451259,0.26998064631725993,0.7380699098175479,19.513353948838734,9.4,96,83,744,0,1179,38,24,77,447,150,5,2,23,35,2,129,11,460,14,170,66,2267,22,0.35,7137,1931,2322,10.8,16/3/2020,93,5,79.4,35.5,0.71,13.1,6.5,0.3,13,6.2,79.4,1.77,28,13,6,2,-6,82,63,70,74
China,22/1/2020,22/1/2020,22/1/2020,22/1/2020,22/1/2020,0.007654513,0.001283035,22.938578525403923,17.00119376527908,5.825682454380001,6.241830684938622,1.2253325633227063,2.0014798914700003,6.711278577085579,0.8998351996389999,0.4775126788139568,0.5174930960540415,13.660037522324073,20.97,91,42,724,1,1479,93,54,109,472,50,2,12,96,13,3,152,2,72,20,181,254,2473,42,0,293021,53471,194634,17.855,21/2/2020,99,5,76.1,38.4,0.32,11.6,8.2,-0.4,29,11.4,76.1,1.6,6.2,30,30,30,30,22,22,22,22
Colombia,6/3/2020,22/3/2020,13/3/2020,16/3/2020,19/3/2020,0.13672468698123233,0.23002450980392156,11.670715018176107,10.405090546367244,6.540499913,3.8346957823551233,0.9453784770266612,3.7130616661199998,7.300055884435812,1.384941418,0.5860031020563884,1.032997700609815,15.327841795215251,8.38,61,27,548,0,949,46,15,290,252,201,3,8,21,51,5,173,6,591,11,346,38,2546,15,,2776,2338,2634,20.835,16/3/2020,90,5,76.6,31.2,0.93,15.4,5.6,-0.6,83,12.3,76.6,1.94,22.3,10,3,0,-6,82,66,73,76
Congo (Brazzaville),15/3/2020,2/4/2020,29/3/2020,,,0.6513157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,75,89,
Congo (Kinshasa),11/3/2020,21/3/2020,19/3/2020,26/3/2020,1/4/2020,0.17869048156826875,0.3171296296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,71,79,86
Costa Rica,6/3/2020,19/3/2020,11/3/2020,18/3/2020,21/3/2020,0.070873665,0,13.082640359134444,13.276389595500676,7.550056883300001,3.976776309803282,2.299081711336921,2.9527822857499997,7.027555694701286,0.946592272,0.5365826223082065,1.274756609774962,10.592420685556778,9.46,73,119,684,0,874,38,44,134,183,295,4,5,32,107,5,49,15,507,8,478,43,2331,11.6,0.29,406,375,280,11.497,17/3/2020,83,5,79.2,32.6,1.08,14.8,4.9,0.8,27,7.5,79.2,1.87,25.7,11,6,-1,-2,79,66,71,78
Cote d'Ivoire,11/3/2020,29/3/2020,21/3/2020,24/3/2020,27/3/2020,0.13330442009001167,0,5.6655034235555215,2.4468245460046605,3.8547296369699997,1.5359943019983475,1.030122192528908,19.0685639,1.986956655599836,9.780103488209999,10.04302037370688,3.9749872505309414,121.14252419729635,3.32,25,3,118,0,1028,7,35,139,48,15,1,10,66,21,14,849,29,89,46,270,35,2612,4,0.098,,,,,17/3/2020,79,5,61.3,20.3,2.26,29.1,7.9,1.2,617,59.1,61.3,3.67,10.3,6,-4,-7,-12,89,71,81,84
Croatia,25/2/2020,19/3/2020,4/3/2020,16/3/2020,19/3/2020,0.095404993,0.17222222222222225,24.23247421024172,19.19697419472537,4.986927768,3.9381908259733533,2.043392511809266,1.261007206,7.923371147942983,0.117681204,0.10653382660095786,0.23222022953617305,6.441873246604563,18.43,169,153,906,0,880,31,37,93,336,333,,16,45,7,4,70,75,461,17,237,119,2178,55.6,0.35,2090,761,738,29.962,12/3/2020,98,5,76.7,43.9,-0.5,8.7,12.8,-1,8,8.6,76.7,1.42,24.4,16,8,-4,-7,79,56,64,76
Cuba,12/3/2020,18/3/2020,19/3/2020,25/3/2020,28/3/2020,0.20192466778225618,0.2222222222222222,20.388948501772717,17.768737780974337,6.41972615,4.292327582576736,1.6532218288136882,3.644936813,6.320415303049594,0.632482832,0.16110693255724226,1.1645423419582766,29.415143842434183,18.34,67,42,519,0,1337,32,10,219,293,134,2,7,58,177,1,236,4,518,0,185,87,2891,52,0.43,8026,3001,1806,81.9,24/3/2020,99,5,79.2,42.1,-0.25,10.4,9.1,-3.7,36,4.3,79.2,1.71,24.6,12,5,-1,6,78,72,79,85
Cyprus,9/3/2020,22/3/2020,13/3/2020,19/3/2020,23/3/2020,0.14137330559770733,0.12982804232804232,15.797357120667035,15.340200682082354,8.629432351230001,4.464188760001219,1.0201862571002416,1.83316227,13.010301577547018,0.188250498,0.003118547,0.49000489016799703,9.409202641377929,19.37,88,37,673,0,805,31,45,101,313,239,33,7,53,28,4,52,54,235,21,389,79,1943,34.17,0.61,141,57,32,19.511,13/3/2020,,,79.3,37.9,1.15,10.9,7,7.6,6,7.4,79.3,1.48,21.8,4,0,-6,-9,82,69,73,79
Czechia,1/3/2020,22/3/2020,5/3/2020,11/3/2020,13/3/2020,0.092166275,0.30806056800972653,22.68156289233181,17.412003731857713,6.0061515304799995,4.087145168,1.9084212440630628,2.084103487,7.819747342666592,0.069449315,0.10545231205311427,0.2980466351409237,16.110773006654476,18.87,321,250,920,0,747,33,19,84,330,280,7,7,16,19,5,116,33,404,13,532,59,2357,64.9,0.25,8441,2876,2581,43.14,11/3/2020,98,11,79.3,43.3,0.06,8.9,10.7,2.3,3,2.6,79.3,1.48,26,10,6,0,-11,82,61,65,71
Denmark,27/2/2020,14/3/2020,4/3/2020,9/3/2020,10/3/2020,0.040967277,0.15570263070263068,12.989091247205286,20.738398394678647,5.5540056497500006,5.887261700503943,1.6145986847899103,2.3947420535900004,12.233014450837588,0.162976969,0.00122366,0.39414827256885976,18.26903114487453,22.19,164,342,1201,0,905,65,64,107,339,368,0,22,21,7,13,112,60,483,34,197,79,2183,25.3,0.089,2501,565,975,44.567,16/3/2020,,,81.2,42,0.48,11.1,9.5,2.8,4,3.2,81.2,1.78,19.7,18,12,7,2,74,58,64,69
Diamond Princess,7/2/2020,20/2/2020,7/2/2020,7/2/2020,10/2/2020,0,0.016666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,38,38,38
Djibouti,18/3/2020,,25/3/2020,,,0.2385281385281386,,7.760337298950644,6.3424281075379385,3.765641419,1.9734644396493157,1.2571762640587725,18.269213251700002,2.9767341506062914,13.69560701,0.3574221116710587,3.570634806248327,80.95906448666099,5.42,7,15,199,0,1495,4,8,42,80,85,15,7,6,128,11,30,11,331,5,335,65,2481,14,,17,13,9,2.2030000000000003,20/3/2020,92,5,64.7,24.9,2.07,22.7,7.3,5.1,248,41.6,64.7,2.19,13.5,2,-5,,,,78,85,
Dominica,22/3/2020,,26/3/2020,,,0.015151515151515138,,16.959054284629786,14.44449341638566,11.653891308299999,3.0734423355877007,1.1452174047105201,4.0376698412400005,5.023862207969255,1.6778758980200001,0.26823565435476704,1.6781721793955668,36.65758575741841,5.6,84,55,644,0,670,9,61,343,281,230,15,8,84,42,28,352,35,410,1,175,61,2300,,0,2,4,2,10.825,23/3/2020,98,5,77.7,34.9,0.13,14.5,8,-5.3,,9.7,77.7,2.02,27.9,1,-3,,,,82,86,
Dominican Republic,1/3/2020,17/3/2020,14/3/2020,20/3/2020,21/3/2020,0.1574252066774784,0.20905742863947194,16.175662943878745,7.995696998123642,5.9535914830299985,2.332020110424266,1.3790437797497244,5.602146321,4.642701597190075,7.845276507079999,0.5229010609650316,1.8902919397405584,25.71169043269893,11.58,91,43,497,0,762,36,17,425,216,171,11,14,66,86,3,79,10,310,2,488,33,2367,16,,,,,15.6,19/3/2020,99,5,72,27.9,0.95,18.5,6.3,-2.7,95,20.9,72,2.24,27.6,18,5,-1,2,77,61,74,80
Ecuador,1/3/2020,14/3/2020,4/3/2020,17/3/2020,18/3/2020,0.12293286629807883,0.2260786676554196,9.863869507694435,9.579695665,7.936254430259999,2.5675234956748128,2.1380695451432783,6.1271894150699975,5.936934089283946,1.873243316,0.6127950960527929,0.9225495493792806,36.82108928180646,5.45,48,77,504,0,1213,28,13,134,203,177,5,7,19,17,2,53,4,191,2,372,24,2082,15,0.095,5461,2016,1996,20.5,13/3/2020,88,5,77.5,28.8,1.2,17,5.2,0,59,15,77.5,2.09,19.9,12,9,-4,-1,74,61,64,77
Egypt,14/2/2020,8/3/2020,6/3/2020,9/3/2020,14/3/2020,0.083165391,0.11731362143610287,21.982985670739875,5.899453606017111,7.870216623909999,4.0224638439739495,4.283238073747575,9.330735045,6.407872253929704,0.174841938,0.35887200703463273,1.610627889,34.38527733429462,13.77,2,35,279,0,2140,13,42,170,109,66,1,14,52,44,8,84,3,270,4,137,105,3042,15.6,0.12,23966,15363,5533,7.902,16/3/2020,96,5,73.7,24.1,2.28,27.2,4.4,-0.3,37,17.1,73.7,3.29,32,31,10,7,8,68,45,66,69
